daily_screen_time_hours,num_social_media_platforms,late_night_usage,gpa,missed_classes_per_month,sleep_hours,sleep_disturbances,physical_activity_hours,stress_level,social_interaction_quality,addiction_label
2.3,4,0,4.14,7,6.0,1,8.9,4,2,Low
15.8,6,1,4.92,4,4.7,1,2.0,9,1,Severe
6.6,6,0,5.34,14,3.8,1,7.4,7,2,Moderate
6.6,4,0,9.74,5,6.8,0,2.9,3,2,Low
13.2,7,0,7.44,3,3.3,1,8.0,3,1,Moderate
15.2,5,0,9.6,11,7.5,1,10.0,6,3,High
15.8,1,1,7.45,13,4.9,0,0.3,6,1,Severe
12.3,7,1,6.88,10,3.0,0,9.0,4,5,High
6.6,1,1,5.88,12,6.1,1,6.2,9,5,Moderate
2.3,5,0,7.64,8,3.3,1,9.7,4,3,Low
12.7,6,0,4.84,7,4.7,0,4.7,9,2,Severe
9.4,7,1,9.39,9,7.2,0,8.5,4,3,Low
7.4,3,0,8.98,11,3.4,0,0.6,2,5,Low
14.6,3,0,5.91,9,8.0,1,3.4,2,3,High
2.7,3,1,9.72,0,3.0,0,0.7,5,1,Low
8.4,6,1,8.95,14,4.5,0,9.8,4,3,Moderate
1.2,6,1,8.0,1,7.4,0,8.2,7,2,Low
8.0,5,1,4.73,8,4.9,1,8.5,5,1,Moderate
1.8,1,0,6.87,7,3.6,0,9.4,6,4,Low
2.8,5,0,7.04,13,5.2,0,0.9,10,5,Low
2.8,5,1,5.4,2,4.6,0,3.9,4,5,Low
10.7,6,0,4.48,7,8.1,0,0.7,2,3,Moderate
12.2,3,1,8.66,11,4.9,0,2.1,10,1,Severe
9.8,2,1,4.73,0,7.7,1,2.3,9,4,High
15.4,1,0,7.57,9,8.4,1,4.7,10,1,Severe
6.6,6,1,9.62,3,5.6,1,2.7,7,5,Low
5.3,3,0,9.26,2,8.5,0,1.0,4,1,Low
14.0,7,0,5.67,5,5.3,1,1.7,3,4,High
4.4,2,0,9.11,6,8.8,1,1.5,10,3,Low
15.4,2,0,4.0,3,3.5,1,9.7,3,2,High
1.2,6,1,4.11,6,7.1,0,7.6,9,1,Low
15.5,4,0,7.62,8,6.0,0,9.7,5,2,High
1.6,1,1,6.19,10,5.3,1,4.4,3,5,Low
14.4,2,1,6.32,1,6.8,1,2.8,5,3,High
8.9,6,1,7.39,10,7.2,0,8.0,2,3,Low
15.9,6,1,5.15,2,3.0,0,3.3,4,1,Severe
2.1,3,0,5.27,4,4.0,1,3.0,10,3,Low
9.3,7,0,6.91,2,7.3,0,2.3,2,1,Low
15.5,4,1,8.53,10,7.0,1,1.3,2,1,High
8.8,1,1,7.72,7,8.8,0,2.6,8,2,Moderate
10.4,5,0,5.78,11,7.6,1,3.6,1,3,Moderate
11.4,7,1,6.58,9,8.7,1,6.7,7,1,High
7.8,7,0,5.02,7,7.2,0,0.6,5,2,Moderate
10.4,3,1,4.45,7,4.8,1,2.1,8,4,High
9.8,2,0,8.7,11,3.6,1,8.1,1,2,Low
14.5,2,1,5.59,11,7.7,1,1.5,7,2,Severe
1.7,3,1,5.07,8,6.9,0,3.4,5,1,Low
5.2,6,0,8.15,3,3.3,0,8.6,4,5,Low
15.3,2,1,7.71,4,5.2,0,1.5,7,5,Severe
14.4,4,1,7.8,4,8.7,1,0.8,10,5,Severe
7.8,1,0,5.37,7,6.0,0,4.8,2,2,Low
10.3,7,1,5.4,6,5.6,1,3.0,1,1,Moderate
5.2,7,0,5.32,8,5.7,1,5.6,1,3,Low
3.8,4,0,5.04,14,4.3,0,8.0,1,2,Low
8.0,2,1,7.93,14,5.2,0,1.4,5,2,Moderate
6.3,7,1,9.09,13,5.2,1,5.8,10,1,Moderate
9.8,5,1,8.35,7,3.3,1,5.1,7,4,High
2.2,1,1,8.75,1,7.6,0,1.4,2,2,Low
15.6,1,1,6.43,9,5.5,0,6.2,10,4,Severe
15.8,7,1,7.92,11,7.9,0,2.7,8,4,Severe
11.5,3,1,6.13,3,8.1,1,4.9,4,5,Moderate
9.0,7,0,7.15,5,4.3,1,0.8,3,1,Moderate
5.6,3,1,6.89,11,6.9,1,4.6,10,4,Moderate
13.2,7,0,5.06,1,5.8,1,3.1,8,1,High
11.3,5,1,6.32,6,8.3,1,8.2,2,5,Moderate
3.4,6,1,9.78,2,4.3,0,0.6,3,1,Low
14.7,1,0,5.49,12,7.1,0,4.2,3,2,High
13.3,7,1,4.8,2,6.6,1,4.6,10,4,Severe
15.2,5,1,6.51,10,4.8,1,7.3,1,1,High
11.9,3,0,8.74,1,3.8,0,5.7,6,3,Moderate
10.2,3,1,7.49,10,6.9,0,6.7,2,1,Moderate
7.3,1,1,8.09,7,7.4,0,7.8,1,4,Low
15.0,4,1,5.14,5,4.9,0,8.6,2,5,High
14.0,7,0,7.71,0,6.9,1,3.1,6,5,Moderate
1.7,2,1,5.94,11,5.4,0,5.4,4,4,Low
1.4,3,1,9.01,0,7.3,1,8.4,6,2,Low
6.6,6,1,7.78,6,4.2,0,9.9,9,2,Moderate
13.2,6,1,5.19,7,8.3,0,8.9,10,5,High
15.8,3,0,4.39,4,4.7,0,3.7,10,5,Severe
3.3,4,0,4.26,11,5.2,1,2.0,8,4,Low
9.9,4,1,6.23,10,3.3,1,4.9,1,2,Moderate
6.7,5,1,5.6,4,3.7,0,7.4,8,5,Moderate
15.5,6,0,7.88,3,6.1,1,4.9,9,2,Severe
13.6,5,0,7.0,13,4.6,1,4.8,6,5,Severe
13.6,6,1,5.6,5,8.0,0,8.4,10,1,High
8.0,7,0,4.9,13,3.1,0,3.6,5,3,Moderate
7.2,7,1,4.76,5,5.3,1,8.6,6,1,Moderate
5.1,2,0,9.19,2,5.0,1,4.1,6,5,Low
1.8,7,0,5.46,8,3.1,1,3.3,9,3,Low
14.0,2,0,7.91,11,3.7,0,4.5,4,3,High
13.2,7,0,8.86,10,5.5,0,7.6,2,5,Moderate
16.0,1,1,7.68,13,6.0,1,1.3,9,5,Severe
15.9,7,0,9.16,6,5.4,0,2.0,2,2,High
9.3,5,0,6.35,0,6.2,0,9.5,10,5,Moderate
12.5,3,1,9.74,14,6.6,1,1.8,9,4,Severe
15.2,5,0,4.8,12,3.1,1,5.7,2,5,Severe
13.7,3,0,4.61,6,5.8,0,5.8,8,4,Severe
4.7,4,1,7.95,4,8.8,0,4.9,9,5,Low
7.8,5,0,9.66,4,6.1,1,6.4,10,2,Low
2.9,4,1,8.85,13,7.1,0,2.3,9,4,Low
15.3,2,1,4.46,12,4.9,0,5.5,10,1,Severe
10.1,2,1,5.68,1,7.6,1,3.7,9,4,Moderate
4.4,1,1,9.58,3,7.6,1,6.6,2,2,Low
11.1,7,0,5.52,11,6.1,0,1.4,4,4,High
10.3,5,1,8.69,5,8.9,0,5.7,7,5,Moderate
6.4,4,0,8.95,9,3.8,0,1.9,2,5,Low
2.7,3,0,6.97,14,3.1,1,2.8,1,2,Low
11.1,2,0,6.32,10,7.6,0,2.2,3,3,Moderate
8.8,7,0,6.7,6,7.8,0,1.8,4,5,Low
12.6,2,0,5.36,10,3.7,1,8.3,8,1,High
8.8,3,0,9.34,4,4.6,1,2.9,6,2,Moderate
13.8,7,0,6.7,8,3.1,0,9.3,2,4,High
9.3,7,0,9.29,2,4.8,1,9.7,9,4,Low
9.4,4,0,4.63,0,7.6,1,5.7,2,1,Low
14.1,4,0,9.93,3,6.1,0,1.4,5,5,Moderate
7.1,5,1,6.66,8,5.1,1,3.7,4,2,Moderate
3.0,5,1,4.29,3,5.2,1,8.0,7,1,Low
1.4,6,1,4.23,1,3.0,0,3.7,8,5,Low
12.3,6,0,8.48,9,4.8,1,0.9,5,2,High
10.3,1,1,7.95,13,6.9,0,5.6,10,4,High
11.6,2,1,8.81,13,8.8,0,8.5,5,2,Moderate
4.2,5,1,4.63,4,8.1,1,8.0,2,3,Low
3.0,4,0,4.21,2,3.1,1,1.8,8,2,Low
1.2,3,0,7.05,12,8.4,1,6.7,2,3,Low
6.3,4,0,6.33,11,7.7,0,2.2,10,2,Moderate
9.8,2,0,6.77,12,7.7,1,2.2,6,3,Moderate
6.9,6,1,9.95,8,5.7,0,8.7,8,4,Low
7.6,4,1,9.82,3,5.4,1,2.5,6,5,Low
14.6,1,1,9.65,5,4.8,1,2.6,4,3,High
6.2,2,1,8.7,1,3.4,1,0.0,4,3,Low
8.7,6,0,6.13,5,4.4,0,8.7,6,4,Moderate
12.8,3,0,6.47,2,4.5,1,7.9,4,3,Moderate
6.9,6,0,7.3,11,5.9,1,6.3,8,1,Moderate
10.3,7,1,8.98,11,7.5,0,7.5,9,4,Moderate
13.9,1,0,4.41,8,5.8,0,1.5,1,1,High
15.2,2,0,6.55,10,3.3,1,4.6,4,4,Severe
3.2,3,1,4.5,1,8.7,1,3.5,4,3,Low
14.9,1,1,7.09,14,8.7,1,0.9,2,1,Severe
8.4,6,0,9.39,11,7.7,0,4.9,6,3,Low
4.9,1,0,8.69,11,8.9,0,9.2,3,4,Low
7.9,2,0,5.37,8,6.3,0,0.4,7,3,Moderate
15.7,5,0,9.86,4,8.8,0,2.9,5,1,High
8.4,1,0,8.0,7,3.5,1,2.1,4,1,Moderate
5.9,7,0,4.06,1,5.2,0,2.4,5,3,Low
10.5,1,1,5.53,5,4.4,0,9.1,8,2,High
4.6,6,1,5.56,2,4.2,0,4.7,3,4,Low
2.1,6,1,4.42,11,3.8,1,4.7,7,4,Low
2.9,3,0,9.76,11,6.7,1,7.6,6,3,Low
2.9,6,1,6.87,13,7.7,0,1.5,1,2,Low
3.3,4,0,9.37,9,6.5,0,4.9,7,1,Low
3.1,2,0,5.93,4,3.9,1,4.3,7,5,Low
10.6,2,1,4.75,11,7.9,1,6.0,1,5,Moderate
3.7,5,0,6.85,7,6.8,1,10.0,9,3,Low
6.2,5,0,4.68,9,5.3,1,7.7,6,2,Low
14.5,2,1,6.92,13,7.0,1,4.0,2,2,High
8.1,7,1,9.52,0,4.6,1,8.3,5,4,Low
11.0,5,1,7.12,4,5.1,1,1.7,4,1,Moderate
3.6,3,0,7.7,2,8.5,1,0.3,7,2,Low
3.9,6,1,4.94,3,4.7,0,2.0,8,5,Low
1.6,2,1,4.26,1,5.8,0,3.4,1,1,Low
